ScorelineID,TeamID,DefOp,WeekID,SeasonID,PComp,PAtt,PYds,PTds,Ints,Sack,SYds,Qbr,RYds,RTds,Long,Fumb,FumL,DefTD,Saf,Gefu,Gwd,Bnch,PComPct,NetPYds,TTds,ZPComp,ZPYds,ZTTds,ZTTos,ZInts,ZFumb,ZRYds,ZDefTD,ZSaf,ZGefu,ZGwd,ZBnch,ZOver25,ZFinal,POS,NEG
202501CAR,CAR,JAX,1,2025,18,35,154,1,2,1,-12,20,40,0,27,1,1,0,0,0,0,0,51.43,142,1,0,12,0,12,10,4,0,0,0,0,0,0,0,38,38,0
202501JAX,JAX,CAR,1,2025,19,31,178,1,1,0,0,68.8,12,0,24,0,0,0,0,0,0,0,61.29,178,1,0,6,0,0,5,0,0,0,0,0,0,0,10,21,21,0
202501CIN,CIN,CLE,1,2025,14,23,113,1,0,3,-18,51.4,3,0,20,0,0,0,0,0,0,0,60.87,95,1,0,25,0,0,0,0,0,0,0,0,0,0,10,35,35,0
202501CLE,CLE,CIN,1,2025,31,45,290,1,2,2,-12,32.7,6,0,25,0,0,0,0,0,0,0,68.89,278,1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0
202501MIA,MIA,IND,1,2025,19,31,146,1,2,3,-13,6.16,10,0,21,1,1,0,0,0,0,1,61.29,133,1,0,12,0,12,10,4,0,0,0,0,0,35,10,83,83,0
202501IND,IND,MIA,1,2025,22,29,272,1,0,1,-10,87.5,26,2,36,0,0,0,0,0,0,0,75.86,262,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,-5
202501LV,LV,NE,1,2025,24,34,362,1,1,4,-29,62.8,10,0,38,0,0,0,0,0,0,0,70.59,333,1,0,-6,0,0,5,0,0,0,0,0,0,0,0,-1,5,-6
202501NE,NE,LV,1,2025,30,46,287,1,1,4,-11,39.2,11,0,27,1,0,0,0,0,0,0,65.22,276,1,0,0,0,0,5,4,0,0,0,0,0,0,0,9,9,0
202501HOU,HOU,LAR,1,2025,19,27,188,0,1,3,-37,43.2,32,0,23,0,0,0,0,0,0,0,70.37,151,0,0,6,10,0,5,0,0,0,0,0,0,0,10,31,31,0
202501LAR,LAR,HOU,1,2025,21,29,245,1,0,3,-21,62,-2,0,36,1,0,0,0,0,0,0,72.41,224,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0
202501TB,TB,ATL,1,2025,17,32,167,3,0,1,-8,86.9,39,0,30,0,0,0,0,0,1,0,53.12,159,3,0,6,-5,0,0,0,0,0,0,0,-12,0,0,-11,6,-17
202501ATL,ATL,TB,1,2025,27,42,298,1,0,1,-9,83.7,21,1,50,1,0,0,0,0,0,0,64.29,289,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0
202501PIT,PIT,NYJ,1,2025,22,30,244,4,0,4,-26,62.6,-1,0,31,0,0,0,0,0,0.5,0,73.33,218,4,0,0,-10,0,0,0,0,0,0,0,-6,0,0,-16,0,-16
202501NYJ,NYJ,PIT,1,2025,16,22,218,1,0,1,-6,79.4,48,2,33,0,0,0,0,0,0,0,72.73,212,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,-5,0,-5
202501TEN,TEN,DEN,1,2025,12,28,112,0,0,6,-50,7.3,0,0,29,1,1,0,0,0,0,0,42.86,62,0,5,25,10,0,0,4,0,0,0,0,0,0,0,44,44,0
202501DEN,DEN,TEN,1,2025,25,40,176,1,2,1,-10,19.2,18,0,22,1,1,0,0,0,0,0,62.5,166,1,0,6,0,12,10,4,0,0,0,0,0,0,10,42,42,0
202501ARI,ARI,NO,1,2025,21,29,163,2,0,5,-33,50.9,38,0,45,0,0,0,0,0,0,0,72.41,130,2,0,12,0,0,0,0,0,0,0,0,0,0,0,12,12,0
202501NO,NO,ARI,1,2025,27,46,214,0,0,1,-6,49.7,29,0,21,0,0,0,0,0,0,0,58.7,208,0,0,0,10,0,0,0,0,0,0,0,0,0,10,20,20,0
202501NYG,NYG,WSH,1,2025,17,37,168,0,0,2,-11,25.5,44,0,25,1,0,0,0,0,0,0,45.95,157,0,5,6,10,0,0,4,0,0,0,0,0,0,0,25,25,0
202501WSH,WSH,NYG,1,2025,19,30,233,1,0,3,-21,54.9,68,0,34,0,0,0,0,0,0,0,63.33,212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501BAL,BAL,BUF,1,2025,14,19,209,2,0,2,-15,94,70,1,39,0,0,0,0,0,0,0,73.68,194,3,0,6,-5,0,0,0,0,0,0,0,0,0,0,1,6,-5
202501BUF,BUF,BAL,1,2025,33,46,394,2,0,1,-5,78.7,30,2,51,0,0,0,0,0,0.5,0,71.74,389,4,0,-9,-10,0,0,0,0,0,0,0,-6,0,0,-25,0,-25
202501DET,DET,GB,1,2025,31,39,225,1,1,4,-25,52.8,-1,0,32,0,0,0,0,0,0,0,79.49,200,1,0,6,0,0,5,0,0,0,0,0,0,0,0,11,11,0
202501GB,GB,DET,1,2025,16,22,188,2,0,0,0,92.1,4,0,48,0,0,0,0,0,0,0,72.73,188,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202501SF,SF,SEA,1,2025,26,35,277,2,2,1,-12,80.3,17,0,45,0,0,0,0,0,1,0,74.29,265,2,0,0,0,0,10,0,0,0,0,0,-12,0,0,-2,10,-12
202501SEA,SEA,SF,1,2025,16,23,150,0,0,1,-4,56,14,0,40,1,1,0,0,0,0,0,69.57,146,0,0,12,10,0,0,4,0,0,0,0,0,0,0,26,26,0
202501MIN,MIN,CHI,1,2025,13,20,143,2,1,3,-9,52.6,25,1,28,0,0,1,0,0,0,0,65,134,3,0,12,-5,0,5,0,0,20,0,0,0,0,0,32,37,-5
202501CHI,CHI,MIN,1,2025,21,35,210,1,0,2,-12,63.8,58,1,31,0,0,0,0,0,0,0,60,198,2,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
202501KC,KC,LAC,1,2025,24,39,258,1,0,2,-9,81.8,57,1,49,0,0,0,0,0,0,0,61.54,249,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501LAC,LAC,KC,1,2025,25,34,318,3,0,3,-14,88.9,32,0,33,0,0,0,0,0,0,0,73.53,304,3,0,-6,-5,0,0,0,0,0,0,0,0,0,0,-11,0,-11
